Date,Harvest China Equity A HKD Acc
9/13/17,156.07
9/14/17,156.31
9/15/17,156.69
9/16/17,156.69
9/17/17,156.69
9/18/17,158.25
9/19/17,159.04
9/20/17,160.37
9/21/17,159.95
9/22/17,158.39
9/23/17,158.39
9/24/17,158.39
9/25/17,154.35
9/26/17,152.28
9/27/17,154.45
9/28/17,153.35
9/29/17,154.37
9/30/17,154.37
10/1/17,154.37
10/2/17,154.37
10/3/17,159.56
10/4/17,161.09
10/5/17,161.09
10/6/17,161.9
10/7/17,161.9
10/8/17,161.9
10/9/17,161.52
10/10/17,162.4
10/11/17,161.88
10/12/17,162.73
10/13/17,162.58
10/14/17,162.58
10/15/17,162.58
10/16/17,163.7
10/17/17,164.27
10/18/17,163.83
10/19/17,161.1
10/20/17,163.61
10/21/17,163.61
10/22/17,163.61
10/23/17,163.94
10/24/17,162.22
10/25/17,163.59
10/26/17,161.88
10/27/17,160.62
10/28/17,160.62
10/29/17,160.62
10/30/17,159.97
10/31/17,160.86
11/1/17,162.46
11/2/17,162.42
11/3/17,162.55
11/4/17,162.55
11/5/17,162.55
11/6/17,164.4
11/7/17,167.22
11/8/17,166.85
11/9/17,168.36
11/10/17,169.28
11/11/17,169.28
11/12/17,169.28
11/13/17,170.46
11/14/17,170.19
11/15/17,167.74
11/16/17,169.99
11/17/17,171.3
11/18/17,171.3
11/19/17,171.3
11/20/17,171.5
11/21/17,175.37
11/22/17,175.17
11/23/17,171.69
11/24/17,172.88
11/25/17,172.88
11/26/17,172.88
11/27/17,169.63
11/28/17,170.37
11/29/17,169.19
11/30/17,164.37
12/1/17,163.6
12/2/17,163.6
12/3/17,163.6
12/4/17,165.24
12/5/17,162.36
12/6/17,157.14
12/7/17,158.11
12/8/17,162.24
12/9/17,162.24
12/10/17,162.24
12/11/17,165.89
12/12/17,164.16
12/13/17,164.28
12/14/17,164.83
12/15/17,161.86
12/16/17,161.86
12/17/17,161.86
12/18/17,162.33
12/19/17,164.32
12/20/17,163.46
12/21/17,165.69
12/22/17,167.49
12/23/17,167.49
12/24/17,167.49
12/25/17,167.49
12/26/17,167.49
12/27/17,166.12
12/28/17,168.33
12/29/17,168.74
12/30/17,168.74
12/31/17,168.74
1/1/18,168.74
1/2/18,173.11
1/3/18,175.97
1/4/18,177.82
1/5/18,177.69
1/6/18,177.69
1/7/18,177.69
1/8/18,179.46
1/9/18,180.74
1/10/18,181.61
1/11/18,180.63
1/12/18,183.16
1/13/18,183.16
1/14/18,183.16
1/15/18,180.7
1/16/18,183.28
1/17/18,181.34
1/18/18,181.4
1/19/18,183.59
1/20/18,183.59
1/21/18,183.59
1/22/18,185.34
1/23/18,187.34
1/24/18,187.06
1/25/18,184.96
1/26/18,187.78
1/27/18,187.78
1/28/18,187.78
1/29/18,187.62
1/30/18,185.14
1/31/18,185.84
2/1/18,185.01
2/2/18,184.89
2/3/18,184.89
2/4/18,184.89
2/5/18,181.74
2/6/18,171.3
2/7/18,168.87
2/8/18,168.68
2/9/18,162.28
2/10/18,162.28
2/11/18,162.28
2/12/18,164.09
2/13/18,167.32
2/14/18,170.79
2/15/18,175.51
2/16/18,175.51
2/17/18,175.51
2/18/18,175.51
2/19/18,175.51
2/20/18,175.11
2/21/18,178.26
2/22/18,177.05
2/23/18,179.15
2/24/18,179.15
2/25/18,179.15
2/26/18,181.18
2/27/18,177.85
2/28/18,174.81
3/1/18,175.75
3/2/18,172.22
3/3/18,172.22
3/4/18,172.22
3/5/18,170.09
3/6/18,173.97
3/7/18,173.5
3/8/18,176.34
3/9/18,177.58
3/10/18,177.58
3/11/18,177.58
3/12/18,180.87
3/13/18,180.72
3/14/18,179.66
3/15/18,182.15
3/16/18,182.69
3/17/18,182.69
3/18/18,182.69
3/19/18,182.8
3/20/18,183.57
3/21/18,182.24
3/22/18,179.8
3/23/18,173.33
3/24/18,173.33
3/25/18,173.33
3/26/18,174.44
3/27/18,177.89
3/28/18,171.97
3/29/18,171.72
3/30/18,171.72
3/31/18,171.72
4/1/18,171.72
4/2/18,171.72
4/3/18,172.24
4/4/18,170.25
4/5/18,170.25
4/6/18,172.05
4/7/18,172.05
4/8/18,172.05
4/9/18,172.47
4/10/18,176.14
4/11/18,177.08
4/12/18,176.39
4/13/18,175.16
4/14/18,175.16
4/15/18,175.16
4/16/18,171.83
4/17/18,169.0
4/18/18,170.06
4/19/18,173.72
4/20/18,171.54
4/21/18,171.54
4/22/18,171.54
4/23/18,169.68
4/24/18,171.91
4/25/18,170.85
4/26/18,168.03
4/27/18,169.6
4/28/18,169.6
4/29/18,169.6
4/30/18,172.4
5/1/18,172.4
5/2/18,172.54
5/3/18,170.6
5/4/18,169.91
5/5/18,169.91
5/6/18,169.91
5/7/18,171.96
5/8/18,175.13
5/9/18,176.54
5/10/18,177.42
5/11/18,178.82
5/12/18,178.82
5/13/18,178.82
5/14/18,180.67
5/15/18,180.37
5/16/18,179.83
5/17/18,179.78
5/18/18,179.82
5/19/18,179.82
5/20/18,179.82
5/21/18,179.07
5/22/18,179.07
5/23/18,176.61
5/24/18,177.42
5/25/18,177.08
5/26/18,177.08
5/27/18,177.08
5/28/18,179.17
5/29/18,177.14
5/30/18,175.16
5/31/18,177.97
6/1/18,178.23
6/2/18,178.23
6/3/18,178.23
6/4/18,181.79
6/5/18,183.22
6/6/18,184.48
6/7/18,185.5
6/8/18,182.53
6/9/18,182.53
6/10/18,182.53
6/11/18,183.66
6/12/18,185.0
6/13/18,183.22
6/14/18,181.32
6/15/18,180.89
6/16/18,180.89
6/17/18,180.89
6/18/18,180.89
6/19/18,176.42
6/20/18,176.68
6/21/18,175.21
6/22/18,174.76
6/23/18,174.76
6/24/18,174.76
6/25/18,172.63
6/26/18,170.3
6/27/18,166.13
6/28/18,164.23
6/29/18,168.99
6/30/18,168.99
7/1/18,168.99
7/2/18,168.99
7/3/18,166.75
7/4/18,163.39
