Date,Franklin Biotechnology Discv A(acc)HKD
5/6/17,19.42
5/7/17,19.42
5/8/17,18.96
5/9/17,19.13
5/10/17,19.07
5/11/17,18.99
5/12/17,19.14
5/13/17,19.14
5/14/17,19.14
5/15/17,19.19
5/16/17,19.23
5/17/17,18.76
5/18/17,19.17
5/19/17,19.06
5/20/17,19.06
5/21/17,19.06
5/22/17,19.13
5/23/17,19.08
5/24/17,19.04
5/25/17,18.97
5/26/17,18.73
5/27/17,18.73
5/28/17,18.73
5/29/17,18.73
5/30/17,18.36
5/31/17,18.44
6/1/17,18.8
6/2/17,19.16
6/3/17,19.16
6/4/17,19.16
6/5/17,18.91
6/6/17,18.8
6/7/17,18.77
6/8/17,18.87
6/9/17,18.82
6/10/17,18.82
6/11/17,18.82
6/12/17,18.83
6/13/17,18.98
6/14/17,19.1
6/15/17,18.93
6/16/17,18.95
6/17/17,18.95
6/18/17,18.95
6/19/17,19.55
6/20/17,19.76
6/21/17,20.53
6/22/17,20.78
6/23/17,20.82
6/24/17,20.82
6/25/17,20.82
6/26/17,20.76
6/27/17,20.12
6/28/17,20.6
6/29/17,20.29
6/30/17,20.11
7/1/17,20.11
7/2/17,20.11
7/3/17,20.25
7/4/17,20.24
7/5/17,20.47
7/6/17,20.11
7/7/17,20.25
7/8/17,20.25
7/9/17,20.25
7/10/17,20.05
7/11/17,20.17
7/12/17,20.37
7/13/17,20.46
7/14/17,20.49
7/15/17,20.49
7/16/17,20.49
7/17/17,20.3
7/18/17,20.32
7/19/17,20.6
7/20/17,20.8
7/21/17,20.9
7/22/17,20.9
7/23/17,20.9
7/24/17,21.13
7/25/17,20.87
7/26/17,21.05
7/27/17,20.73
7/28/17,20.99
7/29/17,20.99
7/30/17,20.99
7/31/17,20.67
8/1/17,20.43
8/2/17,20.58
8/3/17,20.41
8/4/17,20.66
8/5/17,20.66
8/6/17,20.66
8/7/17,20.76
8/8/17,20.53
8/9/17,20.43
8/10/17,19.77
8/11/17,20.04
8/12/17,20.04
8/13/17,20.04
8/14/17,20.26
8/15/17,20.27
8/16/17,20.26
8/17/17,19.91
8/18/17,19.88
8/19/17,19.88
8/20/17,19.88
8/21/17,19.89
8/22/17,20.27
8/23/17,20.23
8/24/17,20.55
8/25/17,20.37
8/26/17,20.37
8/27/17,20.37
8/28/17,20.73
8/29/17,20.79
8/30/17,21.21
8/31/17,21.71
9/1/17,21.87
9/2/17,21.87
9/3/17,21.87
9/4/17,21.87
9/5/17,21.78
9/6/17,21.87
9/7/17,21.93
9/8/17,21.76
9/9/17,21.76
9/10/17,21.76
9/11/17,21.7
9/12/17,21.62
9/13/17,21.61
9/14/17,21.46
9/15/17,21.56
9/16/17,21.56
9/17/17,21.56
9/18/17,21.67
9/19/17,21.55
9/20/17,21.62
9/21/17,21.61
9/22/17,21.55
9/23/17,21.55
9/24/17,21.55
9/25/17,21.61
9/26/17,21.21
9/27/17,21.46
9/28/17,21.53
9/29/17,21.87
9/30/17,21.87
10/1/17,21.87
10/2/17,22.1
10/3/17,22.05
10/4/17,22.17
10/5/17,22.18
10/6/17,22.11
10/7/17,22.11
10/8/17,22.11
10/9/17,22.0
10/10/17,22.1
10/11/17,21.96
10/12/17,21.92
10/13/17,21.78
10/14/17,21.78
10/15/17,21.78
